A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
97,0.939904734,2.907863292,0.446260661,2.462874441,0.138609253,0.13920643,0.127421461,310831696.4,3.35462,1.07924E-08,7,-310831696.4
98,0.719781949,2.423911564,0.439130262,2.541805381,0.105987393,0.179457632,0.159068405,333337350.2,3.59601,1.07879E-08,7,-333337350.2
99,0.369891659,1.830898264,0.146735922,4.182658313,0.102887876,0.202375102,0.130690406,246699511,6.11911,2.48039E-08,7,-246699511
100,1.239341316,2.817571133,0.083242488,2.839761141,0.204342373,0.160849625,0.126645187,328021927.2,5.31963,1.62173E-08,7,-328021927.2
101,1.485159534,1.860856042,0.381181223,3.321336293,0.289025069,0.227575779,0.22255278,400345563.6,12.6048,3.14848E-08,7,-400345563.6
102,0.365638959,2.877996092,0.149427315,2.839761141,0.108262883,0.202369336,0.126645187,305423776.4,2.76385,9.04923E-09,7,-305423776.4
103,0.565008378,2.196141956,0.280261331,2.345962401,0.206874803,0.272941025,0.200922292,366816896.8,7.57741,2.06572E-08,7,-366816896.8
104,0.384621177,1.803051466,0.084739577,2.254423388,0.243323576,0.279750135,0.258231238,392708457.5,10.2158,2.60137E-08,7,-392708457.5
105,0.542128033,1.761113667,0.31252456,2.218745174,0.215058527,0.276831143,0.173490949,392703675.8,9.65246,2.45795E-08,7,-392703675.8
106,0.482574375,1.522393697,0.125340744,3.432473302,0.280841939,0.269267944,0.257027184,416181758.8,14.1543,3.40099E-08,9,-416181758.8
107,0.950544363,1.704494123,0.433292315,2.874655486,0.118115585,0.209082414,0.138247564,338474361.6,6.68013,1.9736E-08,7,-338474361.6
108,0.111303017,2.898889448,0.130088956,2.235360847,0.244497546,0.196403364,0.256711827,326570571.6,5.87925,1.8003E-08,7,-326570571.6
109,0.133880557,2.673390564,0.175411499,2.3642836,0.246532761,0.195336709,0.256796356,336182210.2,6.61183,1.96674E-08,7,-336182210.2
110,0.919824955,1.674440564,0.433831235,2.230274761,0.176039717,0.131983255,0.249955683,392403931.2,7.76587,1.97905E-08,7,-392403931.2
111,0.935294873,2.695309946,0.185725697,3.241554904,0.167144849,0.149457886,0.285108257,327976447.6,4.93516,1.50473E-08,7,-327976447.6
112,1.45870512,1.838906675,0.381181223,2.354518309,0.296121172,0.208951232,0.22255278,408690441.7,12.4134,3.03736E-08,7,-408690441.7
113,0.572724562,1.838906675,0.14040236,3.559290494,0.296121172,0.270150326,0.254278994,400031950.7,13.2715,3.31761E-08,7,-400031950.7
114,1.358655331,1.609128093,0.370502641,2.274414186,0.274740368,0.209414419,0.225088778,419541972.4,12.4536,2.96838E-08,9,-419541972.4
115,0.799346156,2.393628147,0.449238879,2.84057317,0.140530349,0.149486549,0.170810263,339417149.9,5.19797,1.53144E-08,7,-339417149.9
116,1.298358876,1.772771802,0.057713334,2.528624661,0.189194063,0.117603225,0.132083497,380430201.7,7.29376,1.91724E-08,7,-380430201.7
117,0.335768517,2.059856464,0.230949636,2.629001102,0.152459103,0.170430895,0.29358605,352830437.7,5.88126,1.66688E-08,7,-352830437.7
118,1.103979498,2.059856464,0.228561347,2.626360753,0.152459103,0.170430895,0.255558327,364946120.9,6.17737,1.69268E-08,7,-364946120.9
119,0.293174097,1.687556217,0.481786084,2.230274761,0.176039717,0.123587002,0.249955683,385579473,7.57521,1.96463E-08,7,-385579473
120,0.994041013,1.61151182,0.426596733,2.262235775,0.148289049,0.191958237,0.196779537,384031155.6,7.28726,1.89757E-08,7,-384031155.6
121,0.473976137,1.661353925,0.149627316,2.190404039,0.240266907,0.270614388,0.294875083,402441421,10.6486,2.646E-08,7,-402441421
122,0.372498522,2.877996092,0.080229539,2.839761141,0.108957565,0.202369336,0.120373057,305600102,2.78031,9.09787E-09,7,-305600102
123,0.57407686,1.522393697,0.129703616,3.474529635,0.274740368,0.264565445,0.258231238,416910393,14.0124,3.36101E-08,7,-416910393
124,0.469191998,1.522389245,0.129703616,3.330882005,0.274740368,0.270424369,0.258231238,413519456.9,13.84,3.34688E-08,7,-413519456.9
125,0.731311912,1.587600696,0.46520654,2.541805381,0.138466289,0.149486549,0.179201137,372409031.9,6.71595,1.80338E-08,7,-372409031.9
